
2023-07-16_18-07-48: cars 6, truck 0, bus 0, side: right
2023-07-16_18-12-50: cars 0, truck 0, bus 0, side: left
2023-07-16_18-12-50: cars 6, truck 2, bus 0, side: right
2023-07-16_18-17-52: cars 0, truck 0, bus 0, side: left
2023-07-16_18-17-52: cars 12, truck 3, bus 2, side: right
2023-07-16_18-22-55: cars 0, truck 0, bus 0, side: left
2023-07-16_18-22-55: cars 11, truck 4, bus 0, side: right
2023-07-16_18-27-56: cars 0, truck 0, bus 0, side: left
2023-07-16_18-27-56: cars 11, truck 4, bus 0, side: right
2023-07-16_18-32-59: cars 1, truck 0, bus 0, side: left
2023-07-16_18-32-59: cars 10, truck 4, bus 1, side: right
2023-07-16_18-38-01: cars 0, truck 0, bus 0, side: left
2023-07-16_18-38-01: cars 12, truck 2, bus 0, side: right
2023-07-16_18-43-03: cars 0, truck 0, bus 0, side: left
2023-07-16_18-43-03: cars 10, truck 2, bus 0, side: right
2023-07-16_18-48-06: cars 0, truck 0, bus 0, side: left
2023-07-16_18-48-06: cars 10, truck 0, bus 1, side: right
2023-07-16_18-53-08: cars 0, truck 0, bus 0, side: left
2023-07-16_18-53-08: cars 10, truck 1, bus 1, side: right
2023-07-16_18-58-11: cars 1, truck 0, bus 0, side: left
2023-07-16_18-58-11: cars 12, truck 0, bus 0, side: right
2023-07-16_19-03-13: cars 0, truck 0, bus 0, side: left
2023-07-16_19-03-13: cars 11, truck 1, bus 0, side: right
2023-07-16_19-08-15: cars 1, truck 0, bus 0, side: left
2023-07-16_19-08-15: cars 12, truck 1, bus 0, side: right
2023-07-16_19-13-17: cars 0, truck 0, bus 0, side: left
2023-07-16_19-13-17: cars 11, truck 3, bus 0, side: right
2023-07-16_19-18-20: cars 0, truck 0, bus 0, side: left
2023-07-16_19-18-20: cars 11, truck 3, bus 0, side: right
2023-07-16_19-23-22: cars 2, truck 0, bus 0, side: left
2023-07-16_19-23-22: cars 12, truck 3, bus 0, side: right
2023-07-16_19-28-24: cars 0, truck 0, bus 0, side: left
2023-07-16_19-28-24: cars 11, truck 3, bus 0, side: right
2023-07-16_19-33-27: cars 0, truck 0, bus 0, side: left
2023-07-16_19-33-27: cars 12, truck 1, bus 0, side: right
2023-07-16_19-38-29: cars 0, truck 0, bus 0, side: left
2023-07-16_19-38-29: cars 12, truck 1, bus 0, side: right
2023-07-16_19-43-32: cars 1, truck 0, bus 0, side: left
2023-07-16_19-43-32: cars 15, truck 1, bus 0, side: right
2023-07-16_19-48-34: cars 1, truck 0, bus 0, side: left
2023-07-16_19-48-34: cars 12, truck 5, bus 0, side: right
2023-07-16_19-53-37: cars 0, truck 0, bus 0, side: left
2023-07-16_19-53-37: cars 13, truck 3, bus 0, side: right
2023-07-16_19-58-38: cars 0, truck 0, bus 0, side: left
2023-07-16_19-58-38: cars 13, truck 3, bus 0, side: right
2023-07-16_20-03-41: cars 0, truck 0, bus 0, side: left
2023-07-16_20-03-41: cars 12, truck 4, bus 1, side: right
2023-07-16_20-08-43: cars 0, truck 0, bus 0, side: left
2023-07-16_20-08-43: cars 12, truck 4, bus 0, side: right
2023-07-16_20-13-45: cars 0, truck 0, bus 0, side: left
2023-07-16_20-13-45: cars 7, truck 3, bus 2, side: right
2023-07-16_20-18-47: cars 0, truck 0, bus 0, side: left
2023-07-16_20-18-47: cars 9, truck 2, bus 1, side: right
