(284, 'car', 'right')
(285, 'car', 'right')
(286, 'car', 'right')
(287, 'truck', 'right')
(288, 'car', 'right')
(289, 'car', 'right')
(290, 'car', 'right')
(291, 'car', 'right')
(292, 'car', 'right')
(293, 'truck', 'right')
(294, 'car', 'right')
(295, 'car', 'left')
(296, 'car', 'right')
(297, 'car', 'right')
(298, 'car', 'right')
(299, 'car', 'right')
(300, 'car', 'right')
(301, 'car', 'right')
(302, 'truck', 'right')
(303, 'car', 'right')
(304, 'car', 'right')
(305, 'car', 'right')
(306, 'car', 'right')
(307, 'truck', 'right')
(308, 'car', 'right')
(309, 'car', 'right')
(310, 'car', 'right')
(311, 'car', 'right')
(312, 'car', 'right')
(313, 'truck', 'right')
(314, 'car', 'right')
(315, 'car', 'left')
(316, 'car', 'right')
(317, 'car', 'right')
(318, 'car', 'right')
(319, 'car', 'right')
(320, 'car', 'right')
(321, 'car', 'right')
(322, 'truck', 'right')
(323, 'car', 'right')
(324, 'car', 'right')
(325, 'car', 'right')
(326, 'car', 'right')
(327, 'truck', 'right')
(328, 'car', 'right')
(329, 'car', 'right')
(330, 'car', 'right')
(331, 'car', 'right')
(332, 'car', 'right')
(333, 'truck', 'right')
(334, 'car', 'right')
(335, 'car', 'left')
(336, 'car', 'right')
(337, 'car', 'right')
(338, 'car', 'right')
(339, 'car', 'right')
(340, 'car', 'right')
(341, 'car', 'right')
(342, 'truck', 'right')
(343, 'car', 'right')
(344, 'car', 'right')
(345, 'car', 'right')
(346, 'car', 'right')
(347, 'truck', 'right')
(348, 'car', 'right')
(349, 'car', 'right')
(350, 'car', 'right')
(351, 'car', 'right')
(352, 'car', 'right')
(353, 'truck', 'right')
(354, 'car', 'right')
(355, 'car', 'left')
(356, 'car', 'right')
(357, 'car', 'right')
(358, 'car', 'right')
(359, 'car', 'right')
(360, 'car', 'right')
(361, 'car', 'right')
(362, 'truck', 'right')
(363, 'car', 'right')
(364, 'car', 'right')
(365, 'car', 'right')
(366, 'car', 'right')
(367, 'truck', 'right')
(368, 'car', 'right')
(369, 'car', 'right')
(370, 'car', 'right')
(371, 'car', 'right')
(372, 'car', 'right')
(373, 'truck', 'right')
(374, 'car', 'right')
(375, 'car', 'left')
(376, 'car', 'right')
(377, 'car', 'right')
(378, 'car', 'right')
(379, 'car', 'right')
(380, 'car', 'right')
(381, 'car', 'right')
(382, 'truck', 'right')
(383, 'car', 'right')
(384, 'car', 'right')
(385, 'car', 'right')
(386, 'car', 'right')
(387, 'truck', 'right')
(388, 'car', 'right')
(389, 'car', 'right')
(390, 'car', 'right')
(391, 'car', 'right')
(392, 'car', 'right')
(393, 'truck', 'right')
(394, 'car', 'right')
(395, 'car', 'left')
(396, 'car', 'right')
(397, 'car', 'right')
(398, 'car', 'right')
(399, 'car', 'right')
(400, 'car', 'right')
(401, 'car', 'right')
(402, 'truck', 'right')
(403, 'car', 'right')
(404, 'car', 'right')
(405, 'car', 'right')
(406, 'car', 'right')
(407, 'truck', 'right')
(408, 'car', 'right')
(409, 'car', 'right')
(410, 'car', 'right')
(411, 'car', 'right')
(412, 'car', 'right')
(413, 'truck', 'right')
(414, 'car', 'right')
(415, 'car', 'left')
(416, 'car', 'left')
(417, 'truck', 'left')
(418, 'car', 'right')
(419, 'car', 'right')
(420, 'car', 'right')
(421, 'truck', 'right')
(422, 'car', 'right')
(423, 'car', 'right')
(424, 'truck', 'right')
(425, 'car', 'right')
(426, 'car', 'right')
(427, 'car', 'right')
(428, 'car', 'right')
(429, 'bus', 'right')
(430, 'car', 'left')
(431, 'car', 'left')
(432, 'car', 'left')
(433, 'car', 'right')
(434, 'car', 'right')
(435, 'car', 'right')
(436, 'car', 'right')
(437, 'car', 'right')
(438, 'car', 'right')
(439, 'truck', 'right')
(440, 'car', 'right')
(441, 'car', 'right')
(442, 'car', 'right')
(443, 'car', 'right')
(444, 'truck', 'right')
(445, 'car', 'right')
(446, 'car', 'right')
(447, 'car', 'right')
(448, 'car', 'right')
(449, 'car', 'right')
(450, 'truck', 'right')
(451, 'car', 'right')
(452, 'car', 'left')
(453, 'car', 'left')
(454, 'car', 'left')
(455, 'car', 'right')
(456, 'car', 'right')
(457, 'car', 'right')
(458, 'car', 'right')
(459, 'car', 'right')
(460, 'car', 'right')
(461, 'truck', 'right')
(462, 'car', 'right')
(463, 'car', 'right')
(464, 'car', 'right')
(465, 'car', 'right')
(466, 'truck', 'right')
(467, 'car', 'right')
(468, 'car', 'right')
(469, 'car', 'right')
(470, 'car', 'right')
(471, 'car', 'right')
(472, 'truck', 'right')
(473, 'car', 'right')
(474, 'car', 'left')
(475, 'car', 'left')
(476, 'car', 'left')
(477, 'car', 'right')
(478, 'car', 'right')
(479, 'car', 'right')
(480, 'car', 'right')
(481, 'car', 'right')
(482, 'car', 'right')
(483, 'truck', 'right')
(484, 'car', 'right')
(485, 'car', 'right')
(486, 'car', 'right')
(487, 'car', 'right')
(488, 'truck', 'right')
(489, 'car', 'right')
(490, 'car', 'right')
(491, 'car', 'right')
(492, 'car', 'right')
(493, 'car', 'right')
(494, 'truck', 'right')
(495, 'car', 'right')
(496, 'car', 'left')
(497, 'car', 'left')
(498, 'car', 'left')
(499, 'car', 'right')
(500, 'car', 'right')
(501, 'car', 'right')
(502, 'car', 'right')
(503, 'car', 'right')
(504, 'car', 'right')
(505, 'truck', 'right')
(506, 'car', 'right')
(507, 'car', 'right')
(508, 'car', 'right')
(509, 'car', 'right')
(510, 'truck', 'right')
(511, 'car', 'right')
(512, 'car', 'right')
(513, 'car', 'right')
(514, 'car', 'right')
(515, 'car', 'right')
(516, 'truck', 'right')
(517, 'car', 'right')
(518, 'car', 'left')
(519, 'car', 'left')
(520, 'car', 'left')
(521, 'car', 'right')
(522, 'car', 'right')
(523, 'car', 'right')
(524, 'car', 'right')
(525, 'car', 'right')
(526, 'car', 'right')
(527, 'truck', 'right')
(528, 'car', 'right')
(529, 'car', 'right')
(530, 'car', 'right')
(531, 'car', 'right')
(532, 'truck', 'right')
(533, 'car', 'right')
(534, 'car', 'right')
(535, 'car', 'right')
(536, 'car', 'right')
(537, 'car', 'right')
(538, 'truck', 'right')
(539, 'car', 'right')
(540, 'car', 'left')
